GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Notificaciones,DuocQuin.Notificaciones.config,RestTemplateConfig,7,0,0,0,2,0,2,0,2,0
Notificaciones,DuocQuin.Notificaciones.dto,UsuarioDTO,0,3,0,0,0,1,0,1,0,1
Notificaciones,DuocQuin.Notificaciones,NotificacionesApplication,5,3,0,0,2,1,1,1,1,1
Notificaciones,DuocQuin.Notificaciones.rabbitmq,NotificacionConsumer,0,66,0,0,0,22,0,3,0,3
Notificaciones,DuocQuin.Notificaciones.rabbitmq,RabbitConfig,18,20,0,0,9,4,3,4,3,4
Notificaciones,DuocQuin.Notificaciones.factory,NotificacionFactory,5,17,1,3,1,5,1,4,0,2
Notificaciones,DuocQuin.Notificaciones.model,TipoEnvio,0,21,0,0,0,4,0,1,0,1
Notificaciones,DuocQuin.Notificaciones.notificaciones,NotificacionGmail,0,8,0,0,0,3,0,2,0,2
Notificaciones,DuocQuin.Notificaciones.notificaciones,NotificacionPlataforma,0,8,0,0,0,3,0,2,0,2
Notificaciones,DuocQuin.Notificaciones.notificaciones,NotificacionWhatsapp,0,8,0,0,0,3,0,2,0,2
Notificaciones,DuocQuin.Notificaciones.controller,NotificacionesController,10,24,0,0,2,7,2,4,2,4
Notificaciones,DuocQuin.Notificaciones.service,NotificacionesService,13,247,6,18,3,68,6,19,0,13
Notificaciones,DuocQuin.Notificaciones.service,UsuarioClient,15,0,0,0,3,0,2,0,2,0
